Voter_ID,Name,Age,DOB,Gender,City,State,Address,Aadhar
2215,Karan Moray,20,2006-07-14,Male,Pune,Maharashtra,"House 206, Shivaji Nagar, Nagpur, Maharashtra - 400001",5167-2444-8663
1983,Anjali Yadav,67,1959-06-24,Male,Nagpur,Maharashtra,"House 30, MG Road, Pune, Maharashtra - 440001",2430-2220-1244
2648,Amith Moore,39,1987-01-27,Female,Pune,Maharashtra,"House 366, MG Road, Nagpur, Maharashtra - 422001",5228-4307-7497
1434,Karan Kulkarnee,66,1960-01-10,Male,Ratnagiri,Maharashtra,"House 51, Station Road, Pune, Maharashtra - 400001",9812-4480-5537
2544,Anjali Yadava,52,1974-11-05,Male,Ratnagiri,Maharashtra,"House 11, Tilak Nagar, Nagpur, Maharashtra - 440001",7253-2662-4843
2180,Kiran Pateel,25,2001-06-06,Male,Ratnagiri,Maharashtra,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",1942-5237-8519
2327,Pooja Josi,49,1977-11-25,Male,Pune,Maharashtra,"House 218, Tilak Nagar, Nagpur, Maharashtra - 440001",7472-5282-6269
2404,Anjali More,47,1979-04-18,Male,Pune,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3033-4851-1248
2091,Snea Patill,54,1972-10-12,Male,Nagpur,Maharashtra,"House 216, Gandhi Chowk, Mumbai, Maharashtra - 411001",4806-9094-1337
2821,Anjli Patil,77,1949-08-22,Male,Mumbai,Maharashtra,"House 336, Tilak Nagar, Mumbai, Maharashtra - 422001",5342-6580-5746
1860,Ameet Kulkarnee,25,2001-03-15,Female,Pune,Maharashtra,"House 237, Station Road, Mumbai, Maharashtra - 411001",3385-4582-7000
1714,Anjaly Moore,60,1966-10-11,Male,Pune,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",5638-3911-9285
2417,Rohul More,18,2008-06-03,Female,Nagpur,Maharashtra,"House 338, Laxmi Colony, Mumbai, Maharashtra - 411001",5818-5039-2639
1181,Pooja Josi,23,2003-08-15,Male,Ratnagiri,Maharashtra,"House 197, Laxmi Colony, Pune, Maharashtra - 422001",6391-1018-4822
2419,Anjaly Joshy,70,1956-04-20,Male,Ratnagiri,Maharashtra,"House 479, Shivaji Nagar, Pune, Maharashtra - 440001",7023-8749-4218
1558,Amith Patill,38,1988-10-02,Male,Ratnagiri,Maharashtra,"House 382, Gandhi Chowk, Nagpur, Maharashtra - 440001",4013-2511-3233
2326,Snehaa Yadava,75,1951-04-06,Female,Mumbai,Maharashtra,"House 260, MG Road, Nashik, Maharashtra - 440001",2764-1112-6442
1968,Amit Sharmma,21,2005-10-24,Male,Nagpur,Maharashtra,"House 224, Laxmi Colony, Nagpur, Maharashtra - 411001",9976-6724-3849
1743,Rahul Moray,34,1992-04-05,Male,Ratnagiri,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",5825-1695-7577
2680,Snehaa Yadav,53,1973-04-15,Male,Nagpur,Maharashtra,"House 96, Station Road, Pune, Maharashtra - 422001",7763-7844-9371
2814,Snea Pateel,59,1967-02-07,Female,Nagpur,Maharashtra,"House 311, Gandhi Chowk, Nashik, Maharashtra - 440001",8695-7362-4868
1219,Raahul Yadav,40,1986-04-01,Female,Ratnagiri,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3603-5103-4742
2700,Amit Pateel,43,1983-04-19,Female,Ratnagiri,Maharashtra,"House 179, Gandhi Chowk, Nashik, Maharashtra - 400001",8341-8929-2224
1076,Karan Yadav,39,1987-07-01,Female,Ratnagiri,Maharashtra,"House 167, Laxmi Colony, Pune, Maharashtra - 422001",4061-9605-2697
1478,Amith Kulkarni,63,1963-04-12,Male,Ratnagiri,Maharashtra,"House 356, MG Road, Mumbai, Maharashtra - 411001",8029-4547-8352
1721,Poojaa Patill,68,1958-10-24,Female,Nagpur,Maharashtra,"House 326, Tilak Nagar, Nashik, Maharashtra - 400001",1666-7304-4634
1711,Poojaa Kulkarnee,66,1960-11-26,Female,Pune,Maharashtra,"House 121, Gandhi Chowk, Mumbai, Maharashtra - 422001",3731-5173-8929
1562,Rohul Patil,22,2004-11-09,Male,Mumbai,Maharashtra,"House 145, Gandhi Chowk, Nagpur, Maharashtra - 422001",8536-1836-7489
2491,Kiran Sharma,80,1946-08-20,Male,Mumbai,Maharashtra,"House 467, Tilak Nagar, Pune, Maharashtra - 422001",2018-5105-6218
2437,Amit Yadava,32,1994-10-12,Male,Mumbai,Maharashtra,"House 468, Station Road, Nagpur, Maharashtra - 440001",2653-7563-5664
1941,Amith Joshi,68,1958-02-08,Female,Nagpur,Maharashtra,"House 120, Shivaji Nagar, Pune, Maharashtra - 440001",6674-5764-7308
1307,Ameet Kulkarnee,63,1963-02-03,Male,Nagpur,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",5416-7047-1261
1700,Anjaly Kulkarni,41,1985-05-10,Male,Mumbai,Maharashtra,"House 49, Tilak Nagar, Mumbai, Maharashtra - 422001",7491-6574-5816
1339,Anjali Pateel,55,1971-03-08,Male,Ratnagiri,Maharashtra,"House 176, Tilak Nagar, Nagpur, Maharashtra - 411001",4675-6051-9116
1574,Ameet Yadav,28,1998-10-26,Female,Nagpur,Maharashtra,"House 436, Shivaji Nagar, Mumbai, Maharashtra - 400001",8360-2687-3970
2809,Snehaa Yadab,36,1990-05-18,Female,Mumbai,Maharashtra,"House 169, MG Road, Pune, Maharashtra - 422001",7951-3460-2758
2402,Karan Sharma,42,1984-07-05,Male,Pune,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",4557-6576-6053
2160,Kiran Yadava,54,1972-10-25,Male,Nagpur,Maharashtra,"House 464, Shivaji Nagar, Nagpur, Maharashtra - 440001",8946-7393-9755
2391,Rohul Kulkarni,56,1970-12-10,Male,Nagpur,Maharashtra,"House 60, Laxmi Colony, Pune, Maharashtra - 411001",5977-3699-5907
1895,Pooja Sharma,37,1989-03-20,Female,Mumbai,Maharashtra,"House 6, Tilak Nagar, Pune, Maharashtra - 440001",8006-9033-4494
1279,Sneha Sharma,18,2008-02-02,Male,Ratnagiri,Maharashtra,"House 420, Station Road, Pune, Maharashtra - 411001",2119-1030-2155
2925,Rohul Yadava,67,1959-02-23,Female,Nagpur,Maharashtra,"House 70, MG Road, Mumbai, Maharashtra - 422001",2055-5407-7214
2185,Anjaly Yadab,27,1999-11-08,Male,Ratnagiri,Maharashtra,"House 474, MG Road, Nagpur, Maharashtra - 411001",4280-2093-8956
2723,Ameet Joshy,80,1946-02-19,Female,Nagpur,Maharashtra,"House 475, Gandhi Chowk, Mumbai, Maharashtra - 422001",6112-4631-6460
2281,Poojaa Moray,55,1971-05-23,Female,Mumbai,Maharashtra,"House 166, Station Road, Pune, Maharashtra - 422001",3374-3082-5672
2161,Poojaa Joshi,66,1960-12-10,Male,Mumbai,Maharashtra,"House 348, Gandhi Chowk, Nashik, Maharashtra - 422001",7408-1720-7503
2370,Sneha Yadab,49,1977-03-05,Female,Ratnagiri,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",1978-3280-8419
2582,Snehaa Pateel,60,1966-09-27,Male,Mumbai,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",3143-2374-7241
2220,Snea Sharmma,37,1989-12-07,Male,Ratnagiri,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",4604-6385-5593
1197,Raahul Joshi,78,1948-10-25,Male,Ratnagiri,Maharashtra,"House 23, Tilak Nagar, Pune, Maharashtra - 411001",7241-3049-8503
2880,Anjli Kulkarnee,57,1969-08-11,Male,Pune,Maharashtra,"House 33, Tilak Nagar, Nagpur, Maharashtra - 422001",4113-8054-7359
2622,Karan Patill,61,1965-05-20,Male,Nagpur,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",8498-3706-2317
2457,Amit Pateel,60,1966-04-27,Female,Ratnagiri,Maharashtra,"House 19, Laxmi Colony, Pune, Maharashtra - 411001",9267-2799-1639
2677,Anjali Patil,75,1951-04-21,Male,Mumbai,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",2126-8037-3400
1532,Sneha Kulkarni,42,1984-04-01,Male,Nagpur,Maharashtra,"House 59, Tilak Nagar, Nashik, Maharashtra - 422001",5499-8389-9783
1758,Pooja Kulkarni,80,1946-07-28,Female,Nagpur,Maharashtra,"House 457, Station Road, Nashik, Maharashtra - 422001",6951-7981-1419
1929,Kiran More,29,1997-12-01,Male,Pune,Maharashtra,"House 437, Station Road, Pune, Maharashtra - 400001",9729-5616-3815
2482,Snea Yadava,64,1962-03-21,Male,Mumbai,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",6020-2888-7114
3105,kiran sharma,76,1950-06-03,Male,Mumbai,Maharashtra,"House 476, Tilak Nagar, Nagpur, Maharashtra - 440001",5061-7552-3621
1553,Anjali Moore,63,1963-07-26,Female,Pune,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",7176-2830-8808
2945,Rohul Josi,26,2000-10-27,Female,Nagpur,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",3512-6435-6052
2613,Puja Sharmma,21,2005-01-06,Male,Ratnagiri,Maharashtra,"House 482, Station Road, Nagpur, Maharashtra - 400001",3946-2640-5539
2681,Raahul Josi,19,2007-04-07,Male,Mumbai,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",1384-6194-5027
3013,aaaa,-5,1962-12-24,Male,Ratnagiri,Maharashtra,"House 421, Station Road, Nashik, Maharashtra - 411001",2339-9509-4333
2143,Puja Yadav,63,1963-06-02,Female,Pune,Maharashtra,"House 194, Gandhi Chowk, Nagpur, Maharashtra - 411001",4225-8097-5257
1066,Kiran Josi,29,1997-04-24,Female,Ratnagiri,Maharashtra,"House 476, Station Road, Nagpur, Maharashtra - 400001",1464-8921-7267
1222,Amit Moray,23,2001-04-15,Male,Ratnagiri,Maharashtra,"House 393, Tilak Nagar, Nashik, Maharashtra - 411001",4151-3395-4328
1881,Snea Sharma,66,1960-08-17,Female,Mumbai,Maharashtra,"House 336, Gandhi Chowk, Pune, Maharashtra - 411001",9094-3932-2858
2902,Snehaa Sharma,28,1998-01-17,Male,Nagpur,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",9911-6412-1280
2208,Sneha Yadab,58,1968-04-09,Male,Mumbai,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",3703-5633-8708
2805,Anjali Moray,20,1990-03-31,Male,Pune,Maharashtra,"House 405, MG Road, Mumbai, Maharashtra - 400001",3301-2557-9823
1369,Sneha Yadav,39,1987-09-17,Male,Pune,Maharashtra,"House 252, Tilak Nagar, Nashik, Maharashtra - 440001",1467-9214-7915
2844,Puja Sharma,76,1950-03-07,Female,Nagpur,Maharashtra,"House 98, Station Road, Mumbai, Maharashtra - 411001",1452-8078-7777
2697,Anjaly Moore,72,1954-10-11,Female,Ratnagiri,Maharashtra,"House 203, Tilak Nagar, Nashik, Maharashtra - 411001",8427-2465-7362
2524,Snea Kulkarnee,79,1947-06-21,Female,Pune,Maharashtra,"House 483, Gandhi Chowk, Nagpur, Maharashtra - 440001",4058-7781-9940
2508,Snehaa Josi,64,1962-10-26,Female,Nagpur,Maharashtra,"House 468, Station Road, Nagpur, Maharashtra - 440001",1047-7034-7114
3122,POOJAA SHARMA,35,1991-06-14,Male,Pune,Maharashtra,"House 294, Tilak Nagar, Pune, Maharashtra - 440001",8974-7892-5544
1106,Kiran Yadab,26,2000-02-11,Male,Ratnagiri,Maharashtra,"House 204, Tilak Nagar, Mumbai, Maharashtra - 440001",7657-1381-4571
1925,Kiran Moray,77,1949-10-10,Male,Mumbai,Maharashtra,"House 222, MG Road, Mumbai, Maharashtra - 400001",5138-9851-5325
2559,Karan Joshy,32,1994-08-12,Female,Nagpur,Maharashtra,"House 432, Shivaji Nagar, Mumbai, Maharashtra - 411001",2215-2776-9730
1546,Amith Yadab,64,1962-04-01,Male,Mumbai,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",5421-2075-9835
3018,aaaa,-5,1981-02-19,Male,Mumbai,Maharashtra,"House 51, Shivaji Nagar, Mumbai, Maharashtra - 400001",3168-8210-1538
2639,Poojaa Yadava,22,2004-04-25,Male,Pune,Maharashtra,"House 149, MG Road, Nashik, Maharashtra - 411001",3784-1084-2846
1214,Rahul Yadab,75,1951-04-04,Female,Ratnagiri,Maharashtra,"House 328, Gandhi Chowk, Pune, Maharashtra - 400001",2456-4047-9050
1802,Snehaa Yadab,78,1981-03-30,Female,Pune,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",4304-4237-2899
1294,Anjaly Kulkarnee,44,1982-09-09,Female,Ratnagiri,Maharashtra,"House 306, Gandhi Chowk, Nashik, Maharashtra - 411001",2294-8925-3029
1841,Puja Sharma,19,2007-08-19,Female,Mumbai,Maharashtra,"House 129, Laxmi Colony, Pune, Maharashtra - 440001",8040-4041-8541
3064,unknown,0,1968-05-10,Female,Mumbai,Maharashtra,"House 391, Laxmi Colony, Nashik, Maharashtra - 400001",5821-9967-8641
3129,aaaa,0,1970-07-19,Male,Ratnagiri,Maharashtra,"House 418, Laxmi Colony, Mumbai, Maharashtra - 440001",5945-4146-6738
2817,Ameet Patill,50,1976-01-04,Male,Ratnagiri,Maharashtra,"House 163, Tilak Nagar, Pune, Maharashtra - 422001",1992-8047-5368
2321,Anjli Sarma,59,1967-02-01,Female,Ratnagiri,Maharashtra,"House 142, Laxmi Colony, Mumbai, Maharashtra - 400001",1488-2233-7303
1787,Raahul Yadav,76,1950-12-21,Male,Pune,Maharashtra,"House 9, Shivaji Nagar, Pune, Maharashtra - 440001",4294-2415-3952
1482,Snea Josi,29,1997-01-15,Female,Mumbai,Maharashtra,"House 218, Laxmi Colony, Nagpur, Maharashtra - 422001",9182-8219-1519
2718,Anjaly Patill,38,1988-03-09,Male,Mumbai,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",6021-1417-1033
3086,karran joshy,30,1996-09-22,Male,Pune,Maharashtra,"House 359, Shivaji Nagar, Nagpur, Maharashtra - 400001",5120-6305-5859
1873,Amit Yadav,67,1959-02-01,Female,Ratnagiri,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",3229-2112-4325
1559,Snea Moray,47,1979-09-11,Male,Ratnagiri,Maharashtra,"House 162, Gandhi Chowk, Nashik, Maharashtra - 400001",6703-2829-2192
1422,Raahul Kulkarnee,78,1948-08-02,Female,Nagpur,Maharashtra,"House 366, Laxmi Colony, Pune, Maharashtra - 422001",2920-9060-6887
1444,Sneha Joshi,47,1979-12-24,Female,Ratnagiri,Maharashtra,"House 157, Tilak Nagar, Mumbai, Maharashtra - 440001",8724-3537-4251
2948,Snea Moore,72,1954-05-04,Male,Nagpur,Maharashtra,"House 417, Gandhi Chowk, Pune, Maharashtra - 400001",1496-2758-8006
2451,Raahul Kulkarni,52,1974-01-16,Female,Nagpur,Maharashtra,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",8237-2584-3800
1976,Anjli Sharma,69,1957-12-16,Female,Ratnagiri,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",3552-5742-4265
2201,Raahul Joshi,31,1995-03-10,Female,Pune,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",4254-2361-1784
1966,Pooja Sharmma,47,1979-11-04,Female,Ratnagiri,Maharashtra,"House 326, Station Road, Mumbai, Maharashtra - 411001",8368-1267-1718
1689,Rahul Moore,38,1988-07-03,Female,Pune,Maharashtra,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",4061-3746-1293
1916,Puja Sharmma,51,1975-06-11,Female,Pune,Maharashtra,"House 148, Gandhi Chowk, Mumbai, Maharashtra - 400001",2230-1640-3420
1327,Snea Yadab,56,1970-06-19,Female,Nagpur,Maharashtra,"House 336, Tilak Nagar, Mumbai, Maharashtra - 422001",6923-6516-7100
1356,Karran Kulkarnee,63,1963-12-15,Female,Mumbai,Maharashtra,"House 233, Gandhi Chowk, Nashik, Maharashtra - 422001",4687-2725-1995
1361,Ameet Joshy,28,1998-10-06,Female,Ratnagiri,Maharashtra,"House 126, Laxmi Colony, Pune, Maharashtra - 411001",3453-4312-2441
2073,Snehaa Moray,33,1993-10-16,Female,Nagpur,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",4957-6054-9336
1249,Amit Sarma,35,1991-07-16,Female,Ratnagiri,Maharashtra,"House 181, Tilak Nagar, Pune, Maharashtra - 400001",2744-9204-9919
3156,xyz,150,1998-08-01,Male,Mumbai,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",1581-2233-3373
1189,Amit Moray,72,1954-08-11,Female,Ratnagiri,Maharashtra,"House 41, Tilak Nagar, Nagpur, Maharashtra - 400001",6111-3159-5052
1817,Anjli Sharmma,38,1988-05-15,Female,Pune,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",8876-9667-8648
3150,ROHUL YADAV,44,1982-04-10,Male,Mumbai,Maharashtra,"House 344, Gandhi Chowk, Nashik, Maharashtra - 440001",3693-5033-4688
1701,Anjali Sharmma,38,1988-06-18,Male,Mumbai,Maharashtra,"House 155, Gandhi Chowk, Nashik, Maharashtra - 422001",1525-9815-7695
1209,Amit Moray,18,2008-03-08,Female,Ratnagiri,Maharashtra,"House 475, Tilak Nagar, Nashik, Maharashtra - 400001",8866-4459-7901
2398,Snehaa Joshi,80,1946-10-21,Female,Nagpur,Maharashtra,"House 493, Tilak Nagar, Pune, Maharashtra - 440001",9521-6751-3194
1166,Pooja Josi,49,1977-08-17,Female,Ratnagiri,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",8329-5539-3603
3102,KARAN YADAVA,38,1988-08-07,Male,Ratnagiri,Maharashtra,"House 274, Tilak Nagar, Mumbai, Maharashtra - 440001",4849-2956-9358
2495,Karan Patil,30,1996-11-23,Female,Mumbai,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",2363-3985-1217
2594,Karan Joshi,32,1994-11-20,Male,Ratnagiri,Maharashtra,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",7619-6785-1880
2643,Sneha Kulkarnee,52,1974-06-27,Female,Ratnagiri,Maharashtra,"House 217, Tilak Nagar, Mumbai, Maharashtra - 400001",1770-3872-5781
2609,Poojaa Pateel,28,1998-12-27,Female,Pune,Maharashtra,"House 155, Tilak Nagar, Nashik, Maharashtra - 400001",5269-6079-6475
1342,Anjli Joshy,23,2003-11-12,Female,Mumbai,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",8367-5892-3541
1619,Pooja Yadava,73,1977-04-05,Male,Ratnagiri,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",3312-3133-3888
1587,Pooja Kulkarnee,31,1995-06-07,Male,Mumbai,Maharashtra,"House 170, Shivaji Nagar, Nashik, Maharashtra - 411001",1445-5021-4243
2936,Ameet Moore,27,1999-10-08,Male,Mumbai,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",5416-4041-1955
2665,Karan Yadav,55,1971-08-18,Male,Mumbai,Maharashtra,"House 250, Station Road, Nagpur, Maharashtra - 400001",8178-4286-6330
2217,Kiran Joshi,19,2007-06-05,Female,Nagpur,Maharashtra,"House 326, Shivaji Nagar, Nagpur, Maharashtra - 411001",8494-2852-4976
1807,Kiran Yadav,34,1992-03-28,Male,Ratnagiri,Maharashtra,"House 69, MG Road, Nashik, Maharashtra - 411001",2658-9752-6101
1715,Anjali Yadav,77,1949-06-19,Female,Mumbai,Maharashtra,"House 149, MG Road, Nashik, Maharashtra - 411001",6564-7980-8293
2074,Pooja Yadava,41,1985-12-12,Female,Nagpur,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",7389-5952-3114
1349,Kiran Sarma,60,1966-05-23,Female,Mumbai,Maharashtra,"House 168, MG Road, Pune, Maharashtra - 440001",2138-6704-2097
2259,Anjaly Yadab,18,2008-08-04,Male,Pune,Maharashtra,"House 22, Shivaji Nagar, Nagpur, Maharashtra - 400001",4386-6219-6293
1750,Puja Patill,45,1981-08-06,Female,Nagpur,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",5601-3453-8909
3154,amit moray,66,1960-02-10,Male,Pune,Maharashtra,"House 2, MG Road, Pune, Maharashtra - 440001",3079-2389-6788
1440,Puja Patill,49,1977-04-06,Male,Pune,Maharashtra,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",5236-2341-1702
2770,Kiran Sharmma,22,2004-07-13,Male,Mumbai,Maharashtra,"House 374, Gandhi Chowk, Mumbai, Maharashtra - 400001",7281-1475-5889
1267,Anjali Patill,39,1987-05-11,Female,Ratnagiri,Maharashtra,"House 447, Shivaji Nagar, Nagpur, Maharashtra - 400001",3730-3520-4188
2442,Rahul Sharma,71,1955-12-22,Male,Mumbai,Maharashtra,"House 63, Station Road, Mumbai, Maharashtra - 411001",5154-3271-7637
2203,Rohul Yadab,46,1980-07-16,Female,Pune,Maharashtra,"House 373, Station Road, Pune, Maharashtra - 411001",6818-7295-4370
1110,Raahul Yadav,29,1997-11-28,Female,Ratnagiri,Maharashtra,"House 97, Laxmi Colony, Pune, Maharashtra - 422001",9234-8942-7790
1702,Raahul Sharmma,65,1961-11-11,Female,Ratnagiri,Maharashtra,"House 110, MG Road, Mumbai, Maharashtra - 411001",5149-8866-6083
1144,Anjli More,29,1997-12-09,Male,Ratnagiri,Maharashtra,"House 361, Shivaji Nagar, Nagpur, Maharashtra - 440001",1211-1388-4469
1898,Sneha Joshi,31,1995-07-03,Male,Ratnagiri,Maharashtra,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",8928-6193-3018
2151,Karran Josi,69,1957-08-08,Male,Pune,Maharashtra,"House 23, Laxmi Colony, Nashik, Maharashtra - 411001",7101-8565-3839
1918,Karran Sarma,69,1957-10-01,Male,Pune,Maharashtra,"House 207, Tilak Nagar, Pune, Maharashtra - 422001",3132-2900-7889
2273,Puja Sharmma,69,1957-01-05,Male,Ratnagiri,Maharashtra,"House 195, Shivaji Nagar, Mumbai, Maharashtra - 440001",1551-5099-6953
2254,Karan Sarma,74,1952-08-14,Female,Ratnagiri,Maharashtra,"House 52, MG Road, Nashik, Maharashtra - 400001",7633-8740-7425
1230,Anjali Patill,52,1974-11-04,Male,Ratnagiri,Maharashtra,"House 324, Gandhi Chowk, Pune, Maharashtra - 440001",6143-1036-8620
