S,Name,Age,Gender,State,City,Address,Aadhar,DOB,status
1112,Ameet More,65,Male,Maharashtra,Mumbai,"House 52, MG Road, Nashik, Maharashtra - 400001",2656-3002-9031,10/28/1961,9.47193E+11
1113,Anjali Sharma,67,Female,Maharashtra,Pune,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",4256-2540-8437,12/28/1959,84980729842
1114,Pooja Kulkarnee,53,Male,Maharashtra,Ratnagiri,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",1559-6711-8521,5/9/1973,8.26435E+11
1115,Karan Sarma,67,Male,Maharashtra,Pune,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",1584-8054-8978,10/17/1959,7.93291E+11
1116,Anjli Sarma,49,Male,Maharashtra,Mumbai,"House 206, Station Road, Pune, Maharashtra - 440001",6634-1289-3850,4/4/1977,45957253095
1117,Sneha More,74,Male,Maharashtra,Mumbai,"House 265, Gandhi Chowk, Nashik, Maharashtra - 422001",2075-6521-6077,5/13/1952,2.62612E+11
1118,Ameet Sarma,21,Female,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",1799-3091-5032,11/17/2005,7.45159E+11
1119,Pooja More,20,Male,Maharashtra,Pune,"House 175, MG Road, Nagpur, Maharashtra - 440001",4149-7633-7663,6/25/2006,1.15436E+11
1120,Snehaa Patil,24,Male,Maharashtra,Ratnagiri,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",8070-6261-7701,12/19/2002,49922725591
1121,Amit Sarma,41,Female,Maharashtra,Mumbai,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",6607-8680-7821,10/24/1985,5.21862E+11
1122,Kiran Sharma,78,Male,Maharashtra,Pune,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",6981-7254-7791,9/14/1948,3.60344E+11
1123,Anjali Josi,43,Male,Maharashtra,Nagpur,"House 126, Gandhi Chowk, Nagpur, Maharashtra - 400001",9957-3635-7054,3/27/1983,69569820159
1124,Pooja Josi,61,Female,Maharashtra,Mumbai,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",6897-2769-2845,10/18/1965,2.5728E+11
1125,Anjaly Sarma,63,Male,Maharashtra,Mumbai,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3682-9326-4790,11/4/1963,2.44681E+11
1126,Anjali Josi,51,Male,Maharashtra,Ratnagiri,"House 283, Shivaji Nagar, Pune, Maharashtra - 440001",5352-6559-3128,12/6/1975,69569820159
1127,Anjli Patil,66,Female,Maharashtra,Ratnagiri,"House 99, Laxmi Colony, Mumbai, Maharashtra - 422001",6476-1652-6248,11/7/1960,6.13339E+11
1128,Raahul Moore,59,Female,Maharashtra,Ratnagiri,"House 113, Tilak Nagar, Nagpur, Maharashtra - 440001",7391-5875-3636,12/3/1967,8.90247E+11
1129,Poojaa Yadab,26,Female,Maharashtra,Nagpur,"House 11, Gandhi Chowk, Mumbai, Maharashtra - 411001",3985-9636-2765,10/26/2000,3.3964E+11
1130,Ameet Kulkarni,37,Male,Maharashtra,Pune,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",1849-4181-4649,6/21/1989,6.92609E+11
1131,Sneha Moray,51,Female,Maharashtra,Pune,"House 48, Gandhi Chowk, Mumbai, Maharashtra - 440001",2946-1488-9060,10/5/1992,1.76248E+11
1132,Poojaa Yadab,33,Female,Maharashtra,Mumbai,"House 336, Tilak Nagar, Mumbai, Maharashtra - 422001",7223-8801-8962,11/16/1993,6.05645E+11
1133,Puja Moore,77,Male,Maharashtra,Mumbai,"House 34, Gandhi Chowk, Nashik, Maharashtra - 422001",1565-2028-1258,3/1/1984,8.19181E+11
1134,Karan Moray,20,Male,Maharashtra,Pune,"House 206, Shivaji Nagar, Nagpur, Maharashtra - 400001",5167-2444-8663,7/14/2006,5.48673E+11
1135,Anjali Yadav,67,Male,Maharashtra,Nagpur,"House 30, MG Road, Pune, Maharashtra - 440001",2430-2220-1244,6/24/1959,8.63544E+11
1136,Amith Moore,39,Female,Maharashtra,Pune,"House 366, MG Road, Nagpur, Maharashtra - 422001",5228-4307-7497,1/27/1987,6.08072E+11
1137,Karan Kulkarnee,66,Male,Maharashtra,Ratnagiri,"House 51, Station Road, Pune, Maharashtra - 400001",9812-4480-5537,1/10/1960,4.45692E+11
1138,Anjali Yadava,52,Male,Maharashtra,Ratnagiri,"House 11, Tilak Nagar, Nagpur, Maharashtra - 440001",7253-2662-4843,11/5/1974,9.56352E+11
1139,Kiran Pateel,25,Male,Maharashtra,Ratnagiri,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",1942-5237-8519,6/6/2001,1.17866E+11
1140,Pooja Josi,49,Male,Maharashtra,Pune,"House 218, Tilak Nagar, Nagpur, Maharashtra - 440001",7472-5282-6269,11/25/1977,2.5728E+11
1141,Anjali More,47,Male,Maharashtra,Pune,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3033-4851-1248,4/18/1979,45721488551
1142,Snea Patill,54,Male,Maharashtra,Nagpur,"House 216, Gandhi Chowk, Mumbai, Maharashtra - 411001",4806-9094-1337,10/12/1972,2.41483E+11
1143,Anjli Patil,77,Male,Maharashtra,Mumbai,"House 336, Tilak Nagar, Mumbai, Maharashtra - 422001",5342-6580-5746,8/22/1949,6.13339E+11
1144,Ameet Kulkarnee,25,Female,Maharashtra,Pune,"House 237, Station Road, Mumbai, Maharashtra - 411001",3385-4582-7000,3/15/2001,9.28018E+11
1145,Anjaly Moore,60,Male,Maharashtra,Pune,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",5638-3911-9285,10/11/1966,1.7712E+11
1146,Rohul More,18,Female,Maharashtra,Nagpur,"House 338, Laxmi Colony, Mumbai, Maharashtra - 411001",5818-5039-2639,6/3/2008,5.53149E+11
1147,Pooja Josi,23,Male,Maharashtra,Ratnagiri,"House 197, Laxmi Colony, Pune, Maharashtra - 422001",6391-1018-4822,8/15/2003,2.5728E+11
1148,Anjaly Joshy,70,Male,Maharashtra,Ratnagiri,"House 479, Shivaji Nagar, Pune, Maharashtra - 440001",7023-8749-4218,4/20/1956,4.19962E+11
1149,Amith Patill,38,Male,Maharashtra,Ratnagiri,"House 382, Gandhi Chowk, Nagpur, Maharashtra - 440001",4013-2511-3233,10/2/1988,4.06007E+11
1150,Snehaa Yadava,75,Female,Maharashtra,Mumbai,"House 260, MG Road, Nashik, Maharashtra - 440001",2764-1112-6442,4/6/1951,8.54823E+11
1151,Amit Sharmma,21,Male,Maharashtra,Nagpur,"House 224, Laxmi Colony, Nagpur, Maharashtra - 411001",9976-6724-3849,10/24/2005,2.63513E+11
1152,Rahul Moray,34,Male,Maharashtra,Ratnagiri,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",5825-1695-7577,4/5/1992,8.57115E+11
1153,Snehaa Yadav,53,Male,Maharashtra,Nagpur,"House 96, Station Road, Pune, Maharashtra - 422001",7763-7844-9371,4/15/1973,1.31597E+11
1154,Snea Pateel,59,Female,Maharashtra,Nagpur,"House 311, Gandhi Chowk, Nashik, Maharashtra - 440001",8695-7362-4868,2/7/1967,4.64248E+11
1155,Raahul Yadav,40,Female,Maharashtra,Ratnagiri,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",3603-5103-4742,4/1/1986,78205348795
1156,Amit Pateel,43,Female,Maharashtra,Ratnagiri,"House 179, Gandhi Chowk, Nashik, Maharashtra - 400001",8341-8929-2224,4/19/1983,5.73575E+11
1157,Karan Yadav,39,Female,Maharashtra,Ratnagiri,"House 167, Laxmi Colony, Pune, Maharashtra - 422001",4061-9605-2697,7/1/1987,6.60874E+11
1158,Amith Kulkarni,63,Male,Maharashtra,Ratnagiri,"House 356, MG Road, Mumbai, Maharashtra - 411001",8029-4547-8352,4/12/1963,6.97477E+11
1159,Poojaa Patill,68,Female,Maharashtra,Nagpur,"House 326, Tilak Nagar, Nashik, Maharashtra - 400001",1666-7304-4634,10/24/1958,1.84473E+11
1160,Poojaa Kulkarnee,66,Female,Maharashtra,Pune,"House 121, Gandhi Chowk, Mumbai, Maharashtra - 422001",3731-5173-8929,11/26/1960,2.07236E+11
1161,Rohul Patil,22,Male,Maharashtra,Mumbai,"House 145, Gandhi Chowk, Nagpur, Maharashtra - 422001",8536-1836-7489,11/9/2004,4.09543E+11
1162,Kiran Sharma,80,Male,Maharashtra,Mumbai,"House 467, Tilak Nagar, Pune, Maharashtra - 422001",2018-5105-6218,8/20/1946,3.60344E+11
1163,Amit Yadava,32,Male,Maharashtra,Mumbai,"House 468, Station Road, Nagpur, Maharashtra - 440001",2653-7563-5664,10/12/1994,3.7778E+11
1164,Amith Joshi,68,Female,Maharashtra,Nagpur,"House 120, Shivaji Nagar, Pune, Maharashtra - 440001",6674-5764-7308,2/8/1958,1.46626E+11
1165,Ameet Kulkarnee,63,Male,Maharashtra,Nagpur,"House 52, MG Road, Nashik, Maharashtra - 400001",5416-7047-1261,2/3/1963,9.28018E+11
1166,Anjaly Kulkarni,41,Male,Maharashtra,Mumbai,"House 49, Tilak Nagar, Mumbai, Maharashtra - 422001",7491-6574-5816,5/10/1985,4.6913E+11
1167,Anjali Pateel,55,Male,Maharashtra,Ratnagiri,"House 176, Tilak Nagar, Nagpur, Maharashtra - 411001",4675-6051-9116,3/8/1971,2.63058E+11
1168,Ameet Yadav,28,Female,Maharashtra,Nagpur,"House 436, Shivaji Nagar, Mumbai, Maharashtra - 400001",8360-2687-3970,10/26/1998,3.82723E+11
1169,Snehaa Yadab,36,Female,Maharashtra,Mumbai,"House 169, MG Road, Pune, Maharashtra - 422001",7951-3460-2758,5/18/1990,4.47008E+11
1170,Karan Sharma,42,Male,Maharashtra,Pune,"House 52, MG Road, Nashik, Maharashtra - 400001",4557-6576-6053,7/5/1984,7.89474E+11
1171,Kiran Yadava,54,Male,Maharashtra,Nagpur,"House 464, Shivaji Nagar, Nagpur, Maharashtra - 440001",8946-7393-9755,10/25/1972,3.56302E+11
1172,Rohul Kulkarni,56,Male,Maharashtra,Nagpur,"House 60, Laxmi Colony, Pune, Maharashtra - 411001",5977-3699-5907,12/10/1970,8.52042E+11
1173,Pooja Sharma,37,Female,Maharashtra,Mumbai,"House 6, Tilak Nagar, Pune, Maharashtra - 440001",8006-9033-4494,3/20/1989,5.7868E+11
1174,Sneha Sharma,18,Male,Maharashtra,Ratnagiri,"House 420, Station Road, Pune, Maharashtra - 411001",2119-1030-2155,2/2/2008,1.67305E+11
1175,Rohul Yadava,67,Female,Maharashtra,Nagpur,"House 70, MG Road, Mumbai, Maharashtra - 422001",2055-5407-7214,2/23/1959,58081279426
1176,Anjaly Yadab,27,Male,Maharashtra,Ratnagiri,"House 474, MG Road, Nagpur, Maharashtra - 411001",4280-2093-8956,11/8/1999,2.32121E+11
1177,Ameet Joshy,80,Female,Maharashtra,Nagpur,"House 475, Gandhi Chowk, Mumbai, Maharashtra - 422001",6112-4631-6460,2/19/1946,9.41539E+11
1178,Poojaa Moray,55,Female,Maharashtra,Mumbai,"House 166, Station Road, Pune, Maharashtra - 422001",3374-3082-5672,5/23/1971,7.94965E+11
1179,Poojaa Joshi,66,Male,Maharashtra,Mumbai,"House 348, Gandhi Chowk, Nashik, Maharashtra - 422001",7408-1720-7503,12/10/1960,8.24776E+11
1180,Sneha Yadab,49,Female,Maharashtra,Ratnagiri,"House 52, MG Road, Nashik, Maharashtra - 400001",1978-3280-8419,3/5/1977,7.40723E+11
1181,Snehaa Pateel,60,Male,Maharashtra,Mumbai,"House 52, MG Road, Nashik, Maharashtra - 400001",3143-2374-7241,9/27/1966,1.55819E+11
1182,Snea Sharmma,37,Male,Maharashtra,Ratnagiri,"House 52, MG Road, Nashik, Maharashtra - 400001",4604-6385-5593,12/7/1989,9.21925E+11
1183,Raahul Joshi,78,Male,Maharashtra,Ratnagiri,"House 23, Tilak Nagar, Pune, Maharashtra - 411001",7241-3049-8503,10/25/1948,7.0523E+11
1184,Anjli Kulkarnee,57,Male,Maharashtra,Pune,"House 33, Tilak Nagar, Nagpur, Maharashtra - 422001",4113-8054-7359,8/11/1969,2.74117E+11
1185,Karan Patill,61,Male,Maharashtra,Nagpur,"House 52, MG Road, Nashik, Maharashtra - 400001",8498-3706-2317,5/20/1965,8.89948E+11
1186,Amit Pateel,60,Female,Maharashtra,Ratnagiri,"House 19, Laxmi Colony, Pune, Maharashtra - 411001",9267-2799-1639,4/27/1966,5.73575E+11
1187,Anjali Patil,75,Male,Maharashtra,Mumbai,"House 52, MG Road, Nashik, Maharashtra - 400001",2126-8037-3400,4/21/1951,1.83734E+11
1188,Sneha Kulkarni,42,Male,Maharashtra,Nagpur,"House 59, Tilak Nagar, Nashik, Maharashtra - 422001",5499-8389-9783,4/1/1984,2.10256E+11
1189,Pooja Kulkarni,80,Female,Maharashtra,Nagpur,"House 457, Station Road, Nashik, Maharashtra - 422001",6951-7981-1419,7/28/1946,2.14213E+11
1190,Kiran More,29,Male,Maharashtra,Pune,"House 437, Station Road, Pune, Maharashtra - 400001",9729-5616-3815,12/1/1997,7.91179E+11
1191,Snea Yadava,64,Male,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",6020-2888-7114,3/21/1962,3.55999E+11
1192,kiran sharma,76,Male,Maharashtra,Mumbai,"House 476, Tilak Nagar, Nagpur, Maharashtra - 440001",5061-7552-3621,6/3/1950,3.60344E+11
1193,Anjali Moore,63,Female,Maharashtra,Pune,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",7176-2830-8808,7/26/1963,5.71028E+11
1194,Rohul Josi,26,Female,Maharashtra,Nagpur,"House 52, MG Road, Nashik, Maharashtra - 400001",3512-6435-6052,10/27/2000,6.26894E+11
1195,Puja Sharmma,21,Male,Maharashtra,Ratnagiri,"House 482, Station Road, Nagpur, Maharashtra - 400001",3946-2640-5539,1/6/2005,3.71232E+11
1196,Raahul Josi,19,Male,Maharashtra,Mumbai,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",1384-6194-5027,4/7/2007,5.58869E+11
1197,aaaa,-5,Male,Maharashtra,Ratnagiri,"House 421, Station Road, Nashik, Maharashtra - 411001",2339-9509-4333,12/24/1962,7.51723E+11
1198,Puja Yadav,63,Female,Maharashtra,Pune,"House 194, Gandhi Chowk, Nagpur, Maharashtra - 411001",4225-8097-5257,6/2/1963,8.38254E+11
1199,Kiran Josi,29,Female,Maharashtra,Ratnagiri,"House 476, Station Road, Nagpur, Maharashtra - 400001",1464-8921-7267,4/24/1997,8.79483E+11
1200,Amit Moray,23,Male,Maharashtra,Ratnagiri,"House 393, Tilak Nagar, Nashik, Maharashtra - 411001",4151-3395-4328,4/15/2001,3.00177E+11
1201,Snea Sharma,66,Female,Maharashtra,Mumbai,"House 336, Gandhi Chowk, Pune, Maharashtra - 411001",9094-3932-2858,8/17/1960,8.45048E+11
1202,Snehaa Sharma,28,Male,Maharashtra,Nagpur,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",9911-6412-1280,1/17/1998,8.93073E+11
1203,Sneha Yadab,58,Male,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",3703-5633-8708,4/9/1968,7.40723E+11
1204,Anjali Moray,20,Male,Maharashtra,Pune,"House 405, MG Road, Mumbai, Maharashtra - 400001",3301-2557-9823,3/31/1990,9.64641E+11
1205,Sneha Yadav,39,Male,Maharashtra,Pune,"House 252, Tilak Nagar, Nashik, Maharashtra - 440001",1467-9214-7915,9/17/1987,1.10592E+11
1206,Puja Sharma,76,Female,Maharashtra,Nagpur,"House 98, Station Road, Mumbai, Maharashtra - 411001",1452-8078-7777,3/7/1950,6.58771E+11
1207,Anjaly Moore,72,Female,Maharashtra,Ratnagiri,"House 203, Tilak Nagar, Nashik, Maharashtra - 411001",8427-2465-7362,10/11/1954,1.7712E+11
1208,Snea Kulkarnee,79,Female,Maharashtra,Pune,"House 483, Gandhi Chowk, Nagpur, Maharashtra - 440001",4058-7781-9940,6/21/1947,6.09652E+11
1209,Snehaa Josi,64,Female,Maharashtra,Nagpur,"House 468, Station Road, Nagpur, Maharashtra - 440001",1047-7034-7114,10/26/1962,8.76103E+11
1210,POOJAA SHARMA,35,Male,Maharashtra,Pune,"House 294, Tilak Nagar, Pune, Maharashtra - 440001",8974-7892-5544,6/14/1991,5.92961E+11
1211,Kiran Yadab,26,Male,Maharashtra,Ratnagiri,"House 204, Tilak Nagar, Mumbai, Maharashtra - 440001",7657-1381-4571,2/11/2000,9.93758E+11
1212,Kiran Moray,77,Male,Maharashtra,Mumbai,"House 222, MG Road, Mumbai, Maharashtra - 400001",5138-9851-5325,10/10/1949,3.68283E+11
1213,Karan Joshy,32,Female,Maharashtra,Nagpur,"House 432, Shivaji Nagar, Mumbai, Maharashtra - 411001",2215-2776-9730,8/12/1994,9.787E+11
1214,Amith Yadab,64,Male,Maharashtra,Mumbai,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",5421-2075-9835,4/1/1962,2.17554E+11
1215,aaaa,-5,Male,Maharashtra,Mumbai,"House 51, Shivaji Nagar, Mumbai, Maharashtra - 400001",3168-8210-1538,2/19/1981,7.51723E+11
1216,Poojaa Yadava,22,Male,Maharashtra,Pune,"House 149, MG Road, Nashik, Maharashtra - 411001",3784-1084-2846,4/25/2004,9.2999E+11
1217,Rahul Yadab,75,Female,Maharashtra,Ratnagiri,"House 328, Gandhi Chowk, Pune, Maharashtra - 400001",2456-4047-9050,4/4/1951,5.39564E+11
1218,Snehaa Yadab,78,Female,Maharashtra,Pune,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",4304-4237-2899,3/30/1981,4.47008E+11
1219,Anjaly Kulkarnee,44,Female,Maharashtra,Ratnagiri,"House 306, Gandhi Chowk, Nashik, Maharashtra - 411001",2294-8925-3029,9/9/1982,5.07689E+11
1220,Puja Sharma,19,Female,Maharashtra,Mumbai,"House 129, Laxmi Colony, Pune, Maharashtra - 440001",8040-4041-8541,8/19/2007,6.58771E+11
1221,unknown,0,Female,Maharashtra,Mumbai,"House 391, Laxmi Colony, Nashik, Maharashtra - 400001",5821-9967-8641,5/10/1968,6.01421E+11
1222,aaaa,0,Male,Maharashtra,Ratnagiri,"House 418, Laxmi Colony, Mumbai, Maharashtra - 440001",5945-4146-6738,7/19/1970,1.05291E+11
1223,Ameet Patill,50,Male,Maharashtra,Ratnagiri,"House 163, Tilak Nagar, Pune, Maharashtra - 422001",1992-8047-5368,1/4/1976,4.1144E+11
1224,Anjli Sarma,59,Female,Maharashtra,Ratnagiri,"House 142, Laxmi Colony, Mumbai, Maharashtra - 400001",1488-2233-7303,2/1/1967,45957253095
1225,Raahul Yadav,76,Male,Maharashtra,Pune,"House 9, Shivaji Nagar, Pune, Maharashtra - 440001",4294-2415-3952,12/21/1950,78205348795
1226,Snea Josi,29,Female,Maharashtra,Mumbai,"House 218, Laxmi Colony, Nagpur, Maharashtra - 422001",9182-8219-1519,1/15/1997,33289073898
1227,Anjaly Patill,38,Male,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",6021-1417-1033,3/9/1988,7.20858E+11
1228,karran joshy,30,Male,Maharashtra,Pune,"House 359, Shivaji Nagar, Nagpur, Maharashtra - 400001",5120-6305-5859,9/22/1996,4.26495E+11
1229,Amit Yadav,67,Female,Maharashtra,Ratnagiri,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",3229-2112-4325,2/1/1959,2.69428E+11
1230,Snea Moray,47,Male,Maharashtra,Ratnagiri,"House 162, Gandhi Chowk, Nashik, Maharashtra - 400001",6703-2829-2192,9/11/1979,8.63797E+11
1231,Raahul Kulkarnee,78,Female,Maharashtra,Nagpur,"House 366, Laxmi Colony, Pune, Maharashtra - 422001",2920-9060-6887,8/2/1948,9.14909E+11
1232,Sneha Joshi,47,Female,Maharashtra,Ratnagiri,"House 157, Tilak Nagar, Mumbai, Maharashtra - 440001",8724-3537-4251,12/24/1979,7.99555E+11
1233,Snea Moore,72,Male,Maharashtra,Nagpur,"House 417, Gandhi Chowk, Pune, Maharashtra - 400001",1496-2758-8006,5/4/1954,1.2782E+11
1234,Raahul Kulkarni,52,Female,Maharashtra,Nagpur,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",8237-2584-3800,1/16/1974,41697506109
1235,Anjli Sharma,69,Female,Maharashtra,Ratnagiri,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",3552-5742-4265,12/16/1957,3.65111E+11
1236,Raahul Joshi,31,Female,Maharashtra,Pune,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",4254-2361-1784,3/10/1995,7.0523E+11
1237,Pooja Sharmma,47,Female,Maharashtra,Ratnagiri,"House 326, Station Road, Mumbai, Maharashtra - 411001",8368-1267-1718,11/4/1979,1.04369E+11
1238,Rahul Moore,38,Female,Maharashtra,Pune,"House 21, Gandhi Chowk, Mumbai, Maharashtra - 400001",4061-3746-1293,7/3/1988,1.22528E+11
1239,Puja Sharmma,51,Female,Maharashtra,Pune,"House 148, Gandhi Chowk, Mumbai, Maharashtra - 400001",2230-1640-3420,6/11/1975,3.71232E+11
1240,Snea Yadab,56,Female,Maharashtra,Nagpur,"House 336, Tilak Nagar, Mumbai, Maharashtra - 422001",6923-6516-7100,6/19/1970,5.98396E+11
1241,Karran Kulkarnee,63,Female,Maharashtra,Mumbai,"House 233, Gandhi Chowk, Nashik, Maharashtra - 422001",4687-2725-1995,12/15/1963,82447275764
1242,Ameet Joshy,28,Female,Maharashtra,Ratnagiri,"House 126, Laxmi Colony, Pune, Maharashtra - 411001",3453-4312-2441,10/6/1998,9.41539E+11
1243,Snehaa Moray,33,Female,Maharashtra,Nagpur,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",4957-6054-9336,10/16/1993,4.5382E+11
1244,Amit Sarma,35,Female,Maharashtra,Ratnagiri,"House 181, Tilak Nagar, Pune, Maharashtra - 400001",2744-9204-9919,7/16/1991,5.21862E+11
1245,xyz,150,Male,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",1581-2233-3373,8/1/1998,9.52526E+11
1246,Amit Moray,72,Female,Maharashtra,Ratnagiri,"House 41, Tilak Nagar, Nagpur, Maharashtra - 400001",6111-3159-5052,8/11/1954,3.00177E+11
1247,Anjli Sharmma,38,Female,Maharashtra,Pune,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",8876-9667-8648,5/15/1988,4.5013E+11
1248,ROHUL YADAV,44,Male,Maharashtra,Mumbai,"House 344, Gandhi Chowk, Nashik, Maharashtra - 440001",3693-5033-4688,4/10/1982,8.74565E+11
1249,Anjali Sharmma,38,Male,Maharashtra,Mumbai,"House 155, Gandhi Chowk, Nashik, Maharashtra - 422001",1525-9815-7695,6/18/1988,6.4312E+11
1250,Amit Moray,18,Female,Maharashtra,Ratnagiri,"House 475, Tilak Nagar, Nashik, Maharashtra - 400001",8866-4459-7901,3/8/2008,3.00177E+11
1251,Snehaa Joshi,80,Female,Maharashtra,Nagpur,"House 493, Tilak Nagar, Pune, Maharashtra - 440001",9521-6751-3194,10/21/1946,4.11719E+11
1252,Pooja Josi,49,Female,Maharashtra,Ratnagiri,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",8329-5539-3603,8/17/1977,2.5728E+11
1253,KARAN YADAVA,38,Male,Maharashtra,Ratnagiri,"House 274, Tilak Nagar, Mumbai, Maharashtra - 440001",4849-2956-9358,8/7/1988,7.53529E+11
1254,Karan Patil,30,Female,Maharashtra,Mumbai,"House 52, MG Road, Nashik, Maharashtra - 400001",2363-3985-1217,11/23/1996,1.89705E+11
1255,Karan Joshi,32,Male,Maharashtra,Ratnagiri,"House 357, Laxmi Colony, Pune, Maharashtra - 422001",7619-6785-1880,11/20/1994,5.41422E+11
1256,Sneha Kulkarnee,52,Female,Maharashtra,Ratnagiri,"House 217, Tilak Nagar, Mumbai, Maharashtra - 400001",1770-3872-5781,6/27/1974,5.42418E+11
1257,Poojaa Pateel,28,Female,Maharashtra,Pune,"House 155, Tilak Nagar, Nashik, Maharashtra - 400001",5269-6079-6475,12/27/1998,8.55866E+11
1258,Anjli Joshy,23,Female,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",8367-5892-3541,11/12/2003,5.73686E+11
1259,Pooja Yadava,73,Male,Maharashtra,Ratnagiri,"House 320, Gandhi Chowk, Pune, Maharashtra - 440001",3312-3133-3888,4/5/1977,1.81273E+11
1260,Pooja Kulkarnee,31,Male,Maharashtra,Mumbai,"House 170, Shivaji Nagar, Nashik, Maharashtra - 411001",1445-5021-4243,6/7/1995,8.26435E+11
1261,Ameet Moore,27,Male,Maharashtra,Mumbai,"House 4, Tilak Nagar, Nashik, Maharashtra - 422001",5416-4041-1955,10/8/1999,9.75439E+11
1262,Karan Yadav,55,Male,Maharashtra,Mumbai,"House 250, Station Road, Nagpur, Maharashtra - 400001",8178-4286-6330,8/18/1971,6.60874E+11
1263,Kiran Joshi,19,Female,Maharashtra,Nagpur,"House 326, Shivaji Nagar, Nagpur, Maharashtra - 411001",8494-2852-4976,6/5/2007,78977783692
1264,Kiran Yadav,34,Male,Maharashtra,Ratnagiri,"House 69, MG Road, Nashik, Maharashtra - 411001",2658-9752-6101,3/28/1992,5.51134E+11
1265,Anjali Yadav,77,Female,Maharashtra,Mumbai,"House 149, MG Road, Nashik, Maharashtra - 411001",6564-7980-8293,6/19/1949,8.63544E+11
1266,Pooja Yadava,41,Female,Maharashtra,Nagpur,"House 52, MG Road, Nashik, Maharashtra - 400001",7389-5952-3114,12/12/1985,1.81273E+11
